,hp,atk,def,spatk,spdef,spd,t11,t12,t21,t22,win
14634,20.0,-86.0,30.0,-86.0,30.0,-84.0,2.0,1.0,1.0,1.0,0.0
14635,22.0,59.0,0.0,34.0,0.0,45.0,1.0,1.0,1.0,0.5,1.0
14636,0.0,-16.0,55.0,39.0,50.0,-32.0,1.0,1.0,1.0,1.0,0.0
14637,-10.0,2.0,-8.0,-30.0,-10.0,-34.0,1.0,1.0,1.0,1.0,0.0
14638,-1.0,-18.0,5.0,22.0,-20.0,-3.0,1.0,1.0,1.0,1.0,0.0
14639,15.0,12.0,0.0,48.0,50.0,70.0,1.0,1.0,1.0,1.0,1.0
14640,-27.0,-34.0,-65.0,15.0,0.0,-20.0,1.0,1.0,1.0,1.0,0.0
14641,25.0,55.0,35.0,30.0,30.0,65.0,1.0,1.0,1.0,1.0,1.0
14642,-25.0,-35.0,-45.0,20.0,5.0,75.0,2.0,1.0,1.0,1.0,1.0
14643,-55.0,-125.0,-77.0,-20.0,-78.0,-16.0,1.0,2.0,0.5,1.0,0.0
14644,10.0,100.0,65.0,-20.0,35.0,75.0,2.0,1.0,1.0,1.0,1.0
14645,5.0,10.0,20.0,25.0,5.0,-10.0,1.0,1.0,1.0,1.0,0.0
14646,-41.0,40.0,4.0,60.0,8.0,74.0,1.0,1.0,1.0,1.0,1.0
14647,5.0,-30.0,-33.0,-7.0,-33.0,-3.0,2.0,1.0,0.5,1.0,0.0
14648,20.0,30.0,15.0,58.0,35.0,45.0,0.5,2.0,1.0,1.0,1.0
14649,19.0,-17.0,41.0,23.0,51.0,19.0,1.0,1.0,1.0,1.0,1.0
14650,155.0,20.0,55.0,5.0,0.0,-30.0,2.0,1.0,1.0,1.0,1.0
14651,-17.0,-30.0,-30.0,-42.0,-30.0,-38.0,1.0,0.5,1.0,1.0,0.0
14652,-7.0,11.0,0.0,21.0,0.0,-25.0,1.0,1.0,2.0,1.0,0.0
14653,-20.0,-15.0,25.0,35.0,75.0,55.0,1.0,1.0,0.5,1.0,1.0
14654,-54.0,-31.0,-18.0,9.0,7.0,-3.0,1.0,1.0,1.0,1.0,0.0
14655,25.0,25.0,15.0,5.0,35.0,50.0,1.0,1.0,1.0,1.0,1.0
14656,25.0,68.0,50.0,33.0,45.0,66.0,1.0,1.0,1.0,1.0,1.0
14657,32.0,22.0,15.0,42.0,0.0,64.0,1.0,1.0,2.0,1.0,1.0
14658,25.0,50.0,81.0,0.0,31.0,-35.0,1.0,1.0,1.0,1.0,0.0
14659,-54.0,-115.0,-35.0,-100.0,-25.0,-56.0,2.0,2.0,1.0,1.0,0.0
14660,-30.0,-95.0,-35.0,-80.0,-25.0,-50.0,1.0,1.0,1.0,1.0,0.0
14661,31.0,38.0,27.0,0.0,10.0,5.0,1.0,1.0,1.0,1.0,1.0
14662,15.0,60.0,27.0,10.0,48.0,6.0,1.0,1.0,1.0,1.0,1.0
14663,-45.0,-87.0,-30.0,-70.0,-20.0,-48.0,1.0,1.0,0.5,1.0,0.0
14664,50.0,18.0,13.0,41.0,36.0,30.0,1.0,1.0,1.0,1.0,0.0
14665,-4.0,34.0,-2.0,-28.0,-23.0,13.0,1.0,1.0,1.0,1.0,1.0
14666,21.0,27.0,34.0,17.0,-1.0,-74.0,1.0,1.0,0.5,1.0,0.0
14667,-25.0,-37.0,-41.0,-60.0,-50.0,-49.0,1.0,1.0,1.0,1.0,0.0
14668,-20.0,0.0,-4.0,-30.0,-25.0,4.0,1.0,0.5,1.0,1.0,1.0
14669,5.0,-35.0,-15.0,20.0,65.0,60.0,1.0,1.0,0.5,1.0,1.0
14670,-5.0,-80.0,-30.0,-65.0,35.0,50.0,2.0,2.0,1.0,1.0,1.0
14671,40.0,75.0,40.0,10.0,-5.0,40.0,0.5,0.5,0.5,1.0,1.0
14672,15.0,-62.0,-74.0,38.0,32.0,69.0,0.5,1.0,1.0,1.0,0.0
14673,5.0,-14.0,-30.0,-45.0,-20.0,-83.0,1.0,1.0,1.0,1.0,0.0
14674,-10.0,-40.0,-10.0,-15.0,5.0,10.0,0.5,2.0,0.5,2.0,1.0
14675,23.0,56.0,-35.0,1.0,-5.0,20.0,1.0,1.0,1.0,0.5,1.0
14676,-91.0,-50.0,50.0,-50.0,-16.0,-65.0,1.0,1.0,0.0,1.0,0.0
14677,62.0,-40.0,15.0,20.0,-20.0,-20.0,1.0,1.0,1.0,1.0,0.0
14678,41.0,55.0,74.0,65.0,47.0,93.0,1.0,1.0,0.5,1.0,1.0
14679,-1.0,-9.0,0.0,13.0,37.0,-21.0,2.0,1.0,1.0,1.0,0.0
14680,70.0,70.0,58.0,70.0,58.0,30.0,1.0,1.0,0.5,0.5,1.0
14681,-10.0,20.0,95.0,-15.0,-40.0,-45.0,0.5,1.0,0.5,1.0,0.0
14682,5.0,50.0,75.0,30.0,45.0,15.0,1.0,1.0,1.0,1.0,1.0
14683,65.0,48.0,23.0,11.0,21.0,15.0,1.0,1.0,1.0,1.0,1.0
14684,39.0,10.0,-25.0,65.0,55.0,30.0,2.0,0.5,1.0,1.0,1.0
14685,-3.0,9.0,14.0,-1.0,14.0,-7.0,1.0,1.0,1.0,1.0,0.0
14686,15.0,20.0,-50.0,0.0,-55.0,73.0,2.0,0.5,1.0,1.0,1.0
14687,21.0,72.0,52.0,74.0,54.0,39.0,1.0,1.0,0.5,1.0,1.0
14688,65.0,0.0,75.0,85.0,75.0,-30.0,0.5,1.0,1.0,1.0,0.0
14689,-68.0,-70.0,-71.0,-26.0,-40.0,5.0,0.5,0.0,1.0,1.0,1.0
14690,-5.0,10.0,-35.0,20.0,-25.0,35.0,1.0,1.0,1.0,1.0,1.0
14691,10.0,-55.0,-10.0,-35.0,-45.0,-140.0,1.0,1.0,0.5,1.0,0.0
14692,-19.0,10.0,62.0,50.0,52.0,71.0,0.5,1.0,2.0,1.0,1.0
14693,25.0,80.0,40.0,40.0,0.0,50.0,2.0,1.0,1.0,1.0,1.0
14694,25.0,33.0,28.0,40.0,40.0,39.0,1.0,1.0,1.0,1.0,1.0
14695,0.0,40.0,-10.0,60.0,30.0,0.0,1.0,1.0,1.0,1.0,0.0
14696,-35.0,-24.0,-7.0,-14.0,20.0,-14.0,1.0,0.5,0.5,1.0,0.0
14697,-5.0,10.0,15.0,35.0,25.0,35.0,0.5,1.0,1.0,1.0,1.0
14698,40.0,-20.0,5.0,25.0,5.0,-18.0,1.0,1.0,1.0,1.0,0.0
14699,-19.0,1.0,-13.0,-40.0,-53.0,-32.0,1.0,1.0,1.0,1.0,0.0
14700,55.0,27.0,22.0,53.0,63.0,60.0,1.0,1.0,1.0,2.0,1.0
14701,10.0,-55.0,-85.0,30.0,-20.0,45.0,1.0,1.0,1.0,1.0,1.0
14702,-10.0,5.0,47.0,70.0,72.0,56.0,1.0,1.0,1.0,1.0,1.0
14703,43.0,5.0,35.0,-15.0,25.0,-3.0,1.0,1.0,1.0,1.0,0.0
14704,65.0,100.0,40.0,15.0,-5.0,-10.0,1.0,0.5,1.0,1.0,0.0
14705,-8.0,0.0,43.0,9.0,39.0,-32.0,0.5,2.0,0.5,1.0,0.0
14706,-2.0,42.0,86.0,-13.0,-10.0,-28.0,1.0,1.0,1.0,1.0,0.0
14707,-57.0,-81.0,-7.0,-13.0,-19.0,-43.0,1.0,1.0,1.0,0.5,0.0
14708,-6.0,28.0,-20.0,4.0,-25.0,0.0,1.0,1.0,1.0,1.0,0.0
14709,-3.0,-8.0,7.0,64.0,49.0,64.0,1.0,1.0,1.0,1.0,1.0
14710,40.0,40.0,40.0,15.0,15.0,15.0,1.0,1.0,1.0,1.0,1.0
14711,18.0,-1.0,9.0,49.0,16.0,23.0,1.0,1.0,1.0,1.0,1.0
14712,40.0,40.0,30.0,40.0,10.0,25.0,1.0,1.0,0.5,1.0,1.0
14713,-13.0,41.0,22.0,-54.0,-15.0,-15.0,0.5,1.0,1.0,1.0,0.0
14714,-2.0,7.0,11.0,-15.0,5.0,-57.0,1.0,1.0,1.0,1.0,0.0
14715,25.0,27.0,5.0,43.0,-15.0,-5.0,0.5,1.0,1.0,1.0,0.0
14716,10.0,15.0,65.0,5.0,75.0,-22.0,1.0,1.0,2.0,0.5,0.0
14717,44.0,18.0,13.0,85.0,25.0,10.0,1.0,1.0,1.0,2.0,1.0
14718,-9.0,-15.0,-7.0,37.0,22.0,17.0,1.0,1.0,1.0,1.0,1.0
14719,8.0,47.0,10.0,-11.0,33.0,41.0,1.0,1.0,0.5,2.0,1.0
14720,-50.0,-105.0,-80.0,-35.0,-85.0,-50.0,1.0,1.0,1.0,1.0,0.0
14721,35.0,23.0,0.0,20.0,-10.0,17.0,0.5,1.0,1.0,1.0,1.0
14722,9.0,13.0,10.0,75.0,40.0,-17.0,1.0,1.0,1.0,1.0,0.0
14723,-65.0,-35.0,115.0,65.0,-30.0,0.0,1.0,1.0,1.0,1.0,0.0
14724,43.0,75.0,40.0,65.0,40.0,7.0,1.0,1.0,1.0,2.0,1.0
14725,0.0,-34.0,-26.0,0.0,-35.0,10.0,1.0,1.0,1.0,1.0,1.0
14726,-15.0,-86.0,-54.0,-4.0,-56.0,-71.0,1.0,1.0,1.0,1.0,0.0
14727,-10.0,25.0,-15.0,-30.0,-15.0,-93.0,2.0,0.0,1.0,1.0,1.0
14728,-50.0,-75.0,-50.0,-80.0,-60.0,-45.0,0.5,1.0,1.0,1.0,0.0
14729,5.0,75.0,-2.0,-10.0,55.0,24.0,1.0,1.0,1.0,1.0,1.0
14730,10.0,18.0,-10.0,38.0,55.0,11.0,1.0,1.0,1.0,1.0,0.0
14731,35.0,65.0,25.0,5.0,5.0,11.0,0.5,2.0,1.0,1.0,1.0
14732,30.0,15.0,22.0,80.0,62.0,28.0,2.0,0.5,1.0,1.0,1.0
14733,-12.0,31.0,65.0,-22.0,52.0,12.0,1.0,1.0,2.0,2.0,1.0
14734,-15.0,-33.0,8.0,37.0,38.0,-50.0,1.0,1.0,1.0,1.0,0.0
14735,-3.0,12.0,-53.0,-84.0,-42.0,-17.0,1.0,2.0,1.0,1.0,0.0
14736,0.0,35.0,-110.0,35.0,-110.0,-15.0,2.0,1.0,1.0,1.0,0.0
14737,-9.0,-2.0,-20.0,1.0,-5.0,0.0,1.0,1.0,1.0,0.5,0.0
14738,-26.0,-102.0,-45.0,-25.0,-35.0,-47.0,1.0,1.0,1.0,1.0,0.0
14739,-50.0,-10.0,-70.0,-120.0,-60.0,20.0,1.0,1.0,1.0,1.0,1.0
14740,40.0,104.0,100.0,55.0,70.0,-4.0,1.0,1.0,1.0,1.0,0.0
14741,1.0,44.0,10.0,-10.0,-10.0,5.0,1.0,1.0,1.0,1.0,1.0
14742,-25.0,-30.0,-30.0,-20.0,0.0,42.0,1.0,1.0,1.0,1.0,1.0
14743,-10.0,22.0,58.0,-8.0,58.0,-30.0,1.0,1.0,1.0,1.0,0.0
14744,54.0,125.0,25.0,65.0,15.0,71.0,1.0,1.0,1.0,1.0,1.0
14745,125.0,10.0,-55.0,55.0,8.0,32.0,1.0,1.0,1.0,1.0,0.0
14746,-185.0,55.0,50.0,15.0,-60.0,35.0,1.0,1.0,1.0,1.0,1.0
14747,37.0,90.0,35.0,60.0,15.0,65.0,0.5,1.0,1.0,1.0,1.0
14748,-7.0,-61.0,-42.0,25.0,-5.0,-5.0,2.0,1.0,1.0,1.0,0.0
14749,-40.0,-55.0,0.0,-100.0,-80.0,20.0,2.0,2.0,1.0,1.0,1.0
14750,5.0,30.0,61.0,-5.0,76.0,25.0,1.0,1.0,1.0,1.0,1.0
14751,12.0,35.0,30.0,-20.0,-5.0,-37.0,1.0,1.0,1.0,1.0,0.0
14752,-15.0,-15.0,-105.0,-65.0,-115.0,25.0,0.5,1.0,0.5,1.0,1.0
14753,21.0,-16.0,5.0,-37.0,2.0,-49.0,0.5,1.0,1.0,1.0,0.0
14754,-2.0,-15.0,6.0,-35.0,-14.0,-10.0,1.0,1.0,1.0,1.0,0.0
14755,5.0,100.0,34.0,10.0,55.0,51.0,1.0,1.0,1.0,1.0,1.0
14756,5.0,-45.0,-67.0,15.0,-50.0,-23.0,2.0,2.0,1.0,1.0,0.0
14757,45.0,65.0,45.0,-30.0,10.0,20.0,1.0,1.0,1.0,1.0,1.0
14758,-43.0,-22.0,-3.0,-23.0,43.0,11.0,1.0,1.0,1.0,1.0,1.0
14759,65.0,32.0,-83.0,98.0,83.0,20.0,0.5,1.0,1.0,1.0,1.0
14760,-45.0,85.0,-15.0,40.0,-80.0,90.0,1.0,1.0,1.0,1.0,1.0
14761,-30.0,13.0,7.0,-5.0,-10.0,100.0,1.0,2.0,1.0,1.0,1.0
14762,28.0,24.0,-12.0,10.0,40.0,20.0,0.5,1.0,1.0,1.0,1.0
14763,-130.0,-35.0,35.0,-55.0,15.0,-30.0,0.5,1.0,1.0,1.0,0.0
14764,-33.0,-30.0,-86.0,-4.0,-66.0,30.0,1.0,0.5,1.0,1.0,1.0
14765,57.0,61.0,34.0,105.0,29.0,64.0,1.0,1.0,1.0,1.0,1.0
14766,-15.0,-78.0,-10.0,-38.0,-10.0,-40.0,0.5,1.0,1.0,1.0,0.0
14767,45.0,60.0,-45.0,15.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0
14768,59.0,41.0,20.0,51.0,35.0,6.0,1.0,1.0,1.0,1.0,1.0
14769,-35.0,19.0,26.0,-41.0,-40.0,-45.0,1.0,1.0,1.0,1.0,0.0
14770,-30.0,145.0,135.0,50.0,35.0,45.0,1.0,1.0,1.0,1.0,1.0
14771,-35.0,-58.0,-28.0,-48.0,37.0,-31.0,0.5,1.0,1.0,1.0,0.0
14772,33.0,16.0,45.0,50.0,69.0,30.0,1.0,1.0,1.0,1.0,1.0
14773,25.0,90.0,70.0,90.0,65.0,60.0,1.0,0.0,1.0,1.0,1.0
14774,34.0,36.0,-7.0,71.0,51.0,25.0,2.0,1.0,1.0,1.0,1.0
14775,63.0,67.0,83.0,48.0,42.0,27.0,0.5,1.0,1.0,1.0,1.0
14776,-25.0,8.0,0.0,-93.0,-23.0,33.0,1.0,1.0,1.0,2.0,1.0
14777,-15.0,-15.0,-25.0,-30.0,-40.0,-35.0,1.0,1.0,1.0,1.0,0.0
14778,21.0,38.0,10.0,15.0,0.0,40.0,2.0,1.0,1.0,0.5,1.0
14779,-18.0,-50.0,-13.0,49.0,19.0,-21.0,1.0,2.0,0.5,1.0,0.0
14780,0.0,90.0,-10.0,65.0,-35.0,-25.0,1.0,1.0,2.0,1.0,0.0
14781,25.0,6.0,-1.0,-80.0,-50.0,0.0,1.0,1.0,1.0,1.0,0.0
14782,10.0,-40.0,-140.0,40.0,0.0,95.0,0.5,1.0,1.0,1.0,0.0
14783,-3.0,45.0,0.0,-30.0,25.0,-16.0,1.0,0.5,2.0,0.5,0.0
14784,-8.0,50.0,-31.0,99.0,65.0,-5.0,0.5,2.0,1.0,1.0,0.0
14785,20.0,68.0,20.0,97.0,40.0,50.0,1.0,1.0,1.0,1.0,1.0
14786,-4.0,-35.0,15.0,-15.0,10.0,-61.0,0.5,1.0,1.0,1.0,0.0
14787,-36.0,-27.0,-16.0,-80.0,-26.0,-35.0,0.5,0.5,0.5,0.5,0.0
14788,-5.0,-15.0,-120.0,-90.0,-40.0,10.0,1.0,1.0,1.0,1.0,1.0
14789,-75.0,-77.0,-42.0,-77.0,-42.0,-31.0,0.5,1.0,1.0,1.0,0.0
14790,60.0,110.0,55.0,130.0,60.0,20.0,0.5,1.0,1.0,1.0,1.0
14791,15.0,6.0,9.0,15.0,9.0,62.0,0.5,1.0,1.0,1.0,1.0
14792,17.0,-27.0,-80.0,-9.0,-83.0,39.0,1.0,1.0,1.0,1.0,1.0
14793,-70.0,6.0,-45.0,-35.0,-45.0,22.0,1.0,1.0,1.0,1.0,1.0
14794,6.0,22.0,53.0,16.0,74.0,-12.0,2.0,1.0,1.0,1.0,0.0
14795,9.0,0.0,15.0,-5.0,0.0,-19.0,1.0,2.0,1.0,1.0,0.0
14796,0.0,25.0,-5.0,-100.0,-35.0,-47.0,1.0,1.0,1.0,1.0,0.0
14797,-10.0,-25.0,-14.0,10.0,-4.0,-62.0,1.0,1.0,1.0,1.0,0.0
14798,-16.0,-34.0,5.0,23.0,5.0,-23.0,2.0,1.0,1.0,1.0,0.0
14799,-27.0,10.0,-40.0,10.0,-15.0,-18.0,1.0,1.0,1.0,1.0,0.0
14800,-4.0,67.0,10.0,5.0,15.0,7.0,1.0,1.0,1.0,1.0,1.0
14801,26.0,-23.0,15.0,-48.0,-10.0,-91.0,1.0,1.0,0.0,1.0,0.0
14802,-33.0,-52.0,-93.0,-21.0,-21.0,39.0,0.5,2.0,1.0,1.0,0.0
14803,-31.0,-42.0,-15.0,-25.0,-13.0,5.0,0.5,1.0,1.0,1.0,1.0
14804,-35.0,5.0,-19.0,30.0,-50.0,29.0,1.0,1.0,1.0,1.0,1.0
14805,-40.0,-20.0,-58.0,-55.0,-63.0,16.0,1.0,1.0,1.0,1.0,1.0
14806,20.0,-25.0,15.0,0.0,50.0,-35.0,2.0,0.5,1.0,1.0,0.0
14807,1.0,9.0,47.0,34.0,52.0,12.0,1.0,1.0,1.0,1.0,1.0
14808,5.0,-9.0,-20.0,-14.0,10.0,63.0,0.5,1.0,1.0,1.0,1.0
14809,-20.0,-10.0,30.0,0.0,30.0,-34.0,0.5,2.0,1.0,0.5,0.0
14810,5.0,-50.0,-35.0,-5.0,-55.0,-20.0,1.0,1.0,1.0,1.0,0.0
14811,20.0,8.0,15.0,-33.0,20.0,20.0,1.0,1.0,2.0,1.0,1.0
14812,-47.0,-25.0,-51.0,-55.0,-45.0,-37.0,0.5,1.0,1.0,1.0,0.0
14813,-20.0,-68.0,-25.0,-32.0,-5.0,35.0,1.0,1.0,1.0,1.0,1.0
14814,15.0,70.0,-60.0,85.0,60.0,20.0,2.0,1.0,1.0,1.0,1.0
14815,37.0,13.0,31.0,-37.0,-7.0,-58.0,1.0,1.0,0.5,1.0,0.0
14816,-11.0,-62.0,-20.0,15.0,0.0,-57.0,0.5,1.0,1.0,1.0,0.0
14817,-18.0,-35.0,-15.0,-20.0,-25.0,8.0,1.0,1.0,1.0,0.5,1.0
14818,5.0,-20.0,12.0,25.0,17.0,-42.0,0.0,1.0,1.0,1.0,0.0
14819,22.0,85.0,20.0,10.0,5.0,50.0,1.0,1.0,1.0,1.0,1.0
14820,24.0,116.0,102.0,38.0,58.0,37.0,1.0,1.0,1.0,1.0,1.0
14821,-6.0,25.0,-155.0,33.0,3.0,25.0,1.0,1.0,1.0,1.0,1.0
14822,0.0,-20.0,-18.0,20.0,-8.0,66.0,1.0,1.0,1.0,1.0,1.0
14823,5.0,-2.0,-17.0,-55.0,-27.0,-44.0,1.0,1.0,1.0,2.0,0.0
14824,-5.0,85.0,12.0,15.0,-5.0,40.0,0.5,1.0,1.0,1.0,1.0
14825,50.0,25.0,55.0,60.0,55.0,40.0,1.0,1.0,2.0,1.0,1.0
14826,36.0,25.0,-70.0,65.0,31.0,65.0,0.5,1.0,0.5,1.0,1.0
14827,-17.0,21.0,0.0,-17.0,-13.0,-6.0,0.5,1.0,1.0,1.0,0.0
14828,45.0,35.0,10.0,-60.0,-5.0,-40.0,2.0,0.5,1.0,1.0,1.0
14829,-25.0,-25.0,-20.0,-29.0,-45.0,-47.0,1.0,1.0,1.0,1.0,0.0
14830,-20.0,-75.0,-55.0,-110.0,-70.0,30.0,1.0,1.0,1.0,1.0,0.0
14831,31.0,-18.0,24.0,50.0,-35.0,-2.0,1.0,1.0,1.0,1.0,0.0
14832,15.0,70.0,-60.0,85.0,60.0,20.0,2.0,1.0,1.0,1.0,1.0
14833,-37.0,-80.0,-69.0,-80.0,-64.0,-20.0,1.0,1.0,1.0,1.0,0.0
14834,5.0,23.0,-8.0,3.0,-17.0,-20.0,1.0,1.0,1.0,1.0,0.0
14835,30.0,25.0,6.0,20.0,36.0,65.0,1.0,1.0,1.0,1.0,1.0
14836,-20.0,-50.0,0.0,-70.0,-65.0,-70.0,0.5,1.0,1.0,0.5,0.0
14837,-10.0,-30.0,11.0,40.0,11.0,55.0,1.0,1.0,1.0,1.0,1.0
14838,-12.0,33.0,0.0,0.0,35.0,12.0,1.0,1.0,1.0,1.0,1.0
14839,-31.0,-28.0,-48.0,-55.0,-49.0,6.0,2.0,1.0,1.0,1.0,1.0
14840,20.0,35.0,17.0,30.0,17.0,-16.0,1.0,1.0,0.5,1.0,0.0
14841,23.0,24.0,-5.0,7.0,15.0,33.0,1.0,1.0,0.5,1.0,1.0
14842,-5.0,-98.0,-33.0,-67.0,5.0,-27.0,0.5,0.5,1.0,1.0,0.0
14843,-42.0,-110.0,-115.0,-40.0,-55.0,-60.0,0.5,0.5,0.5,1.0,0.0
14844,25.0,36.0,47.0,-3.0,37.0,-40.0,2.0,1.0,1.0,1.0,0.0
14845,10.0,45.0,-31.0,0.0,-31.0,25.0,1.0,1.0,1.0,1.0,1.0
14846,22.0,100.0,-5.0,5.0,-5.0,40.0,1.0,1.0,0.0,1.0,1.0
14847,15.0,-20.0,15.0,100.0,70.0,65.0,0.5,1.0,1.0,1.0,1.0
14848,-60.0,-45.0,-90.0,5.0,-20.0,65.0,2.0,1.0,1.0,1.0,0.0
14849,-40.0,-15.0,-50.0,-120.0,-95.0,-22.0,1.0,1.0,1.0,1.0,0.0
14850,0.0,27.0,77.0,13.0,30.0,39.0,1.0,1.0,0.5,1.0,1.0
14851,-70.0,-20.0,-30.0,-60.0,-30.0,5.0,0.0,1.0,1.0,0.5,0.0
14852,25.0,17.0,22.0,10.0,10.0,11.0,2.0,1.0,1.0,1.0,1.0
14853,19.0,-22.0,-11.0,0.0,30.0,-16.0,0.5,1.0,1.0,1.0,0.0
14854,-17.0,40.0,18.0,14.0,4.0,-12.0,0.0,1.0,1.0,0.5,0.0
14855,22.0,30.0,70.0,60.0,30.0,30.0,1.0,1.0,1.0,1.0,1.0
14856,37.0,65.0,25.0,40.0,10.0,15.0,1.0,1.0,1.0,2.0,1.0
14857,40.0,18.0,15.0,-17.0,-10.0,-50.0,1.0,1.0,1.0,1.0,1.0
14858,0.0,-55.0,-40.0,30.0,-40.0,65.0,1.0,0.5,1.0,0.5,0.0
14859,-27.0,-26.0,-23.0,-26.0,-23.0,-48.0,1.0,1.0,1.0,0.5,0.0
14860,15.0,-75.0,-100.0,5.0,-55.0,15.0,1.0,1.0,1.0,1.0,1.0
14861,-75.0,-84.0,-20.0,-5.0,-20.0,-23.0,1.0,1.0,1.0,1.0,0.0
14862,25.0,5.0,-5.0,35.0,-40.0,-40.0,0.5,1.0,1.0,1.0,0.0
14863,51.0,15.0,80.0,50.0,114.0,30.0,1.0,1.0,1.0,1.0,1.0
14864,30.0,-15.0,-45.0,-10.0,-40.0,-30.0,2.0,1.0,1.0,1.0,0.0
14865,-10.0,10.0,10.0,-5.0,10.0,10.0,1.0,2.0,1.0,2.0,1.0
14866,5.0,25.0,20.0,-1.0,3.0,-2.0,0.5,1.0,1.0,1.0,0.0
14867,-15.0,25.0,-15.0,-95.0,-10.0,-5.0,1.0,0.5,1.0,1.0,0.0
14868,16.0,-11.0,25.0,51.0,55.0,19.0,1.0,1.0,1.0,1.0,1.0
14869,-5.0,-111.0,-45.0,-111.0,-45.0,-65.0,2.0,1.0,1.0,1.0,0.0
14870,55.0,33.0,11.0,30.0,1.0,0.0,1.0,1.0,0.5,1.0,0.0
14871,-31.0,-50.0,-69.0,5.0,-12.0,-53.0,1.0,1.0,2.0,1.0,0.0
14872,0.0,-20.0,15.0,5.0,-5.0,15.0,1.0,1.0,1.0,1.0,1.0
14873,3.0,130.0,14.0,94.0,14.0,80.0,1.0,1.0,2.0,1.0,1.0
14874,58.0,30.0,86.0,-25.0,76.0,30.0,1.0,1.0,1.0,1.0,1.0
14875,-180.0,90.0,80.0,20.0,-40.0,20.0,1.0,1.0,1.0,1.0,1.0
14876,10.0,80.0,34.0,30.0,44.0,82.0,1.0,1.0,1.0,1.0,1.0
14877,-30.0,-100.0,-70.0,-130.0,-50.0,-50.0,1.0,0.5,0.5,2.0,1.0
14878,-7.0,-23.0,18.0,-27.0,-18.0,-83.0,1.0,1.0,1.0,1.0,0.0
14879,-43.0,15.0,-69.0,-20.0,-79.0,-20.0,2.0,1.0,1.0,1.0,0.0
14880,-25.0,-40.0,-85.0,0.0,-2.0,32.0,1.0,1.0,1.0,1.0,0.0
14881,-16.0,-21.0,-37.0,0.0,-30.0,23.0,2.0,1.0,1.0,1.0,1.0
14882,-21.0,-8.0,-36.0,-8.0,-46.0,-41.0,1.0,1.0,1.0,1.0,0.0
14883,30.0,33.0,-10.0,13.0,-20.0,24.0,0.5,0.5,1.0,2.0,1.0
14884,-20.0,-75.0,25.0,45.0,-25.0,-20.0,1.0,1.0,2.0,2.0,0.0
14885,-9.0,-6.0,-3.0,-1.0,-11.0,-10.0,2.0,0.5,1.0,0.0,0.0
14886,0.0,17.0,112.0,17.0,112.0,26.0,1.0,1.0,1.0,1.0,1.0
14887,0.0,-55.0,5.0,-110.0,-55.0,50.0,1.0,1.0,1.0,1.0,1.0
14888,32.0,-1.0,-85.0,-1.0,-40.0,25.0,2.0,1.0,0.5,1.0,1.0
14889,40.0,52.0,15.0,0.0,-10.0,-2.0,0.5,1.0,1.0,1.0,0.0
14890,23.0,70.0,20.0,0.0,70.0,5.0,1.0,1.0,2.0,0.5,1.0
14891,14.0,33.0,30.0,10.0,15.0,13.0,1.0,1.0,1.0,1.0,1.0
14892,67.0,95.0,15.0,5.0,35.0,70.0,0.0,1.0,1.0,1.0,0.0
14893,26.0,36.0,6.0,36.0,6.0,5.0,0.5,1.0,1.0,1.0,1.0
14894,10.0,-10.0,25.0,0.0,25.0,73.0,1.0,1.0,1.0,1.0,1.0
14895,10.0,-27.0,-20.0,-23.0,-10.0,-40.0,1.0,1.0,1.0,1.0,0.0
14896,-5.0,-20.0,0.0,-10.0,25.0,0.0,0.5,1.0,1.0,1.0,0.0
14897,-5.0,-15.0,-24.0,5.0,-29.0,-20.0,1.0,1.0,1.0,1.0,0.0
14898,21.0,-28.0,-128.0,49.0,-11.0,-21.0,1.0,1.0,1.0,1.0,0.0
14899,20.0,28.0,2.0,-30.0,-15.0,-20.0,1.0,1.0,1.0,1.0,0.0
14900,-21.0,10.0,40.0,-55.0,0.0,-29.0,2.0,1.0,1.0,1.0,0.0
14901,-25.0,-2.0,10.0,27.0,45.0,5.0,1.0,1.0,1.0,1.0,1.0
14902,-15.0,-5.0,-15.0,-5.0,-40.0,-30.0,0.5,0.5,1.0,1.0,0.0
14903,45.0,24.0,35.0,40.0,40.0,18.0,1.0,1.0,1.0,1.0,1.0
14904,-20.0,2.0,-14.0,65.0,-14.0,-25.0,1.0,1.0,1.0,1.0,0.0
14905,3.0,1.0,-2.0,89.0,35.0,8.0,2.0,2.0,2.0,2.0,1.0
14906,-38.0,-80.0,-42.0,-63.0,-54.0,-35.0,1.0,1.0,1.0,1.0,0.0
14907,7.0,-50.0,-34.0,-70.0,-34.0,1.0,1.0,0.5,1.0,1.0,1.0
14908,-5.0,-20.0,8.0,0.0,58.0,10.0,1.0,1.0,2.0,1.0,1.0
14909,5.0,35.0,110.0,-35.0,-10.0,-45.0,1.0,1.0,1.0,2.0,1.0
14910,-65.0,-115.0,-10.0,25.0,0.0,-15.0,1.0,1.0,0.5,2.0,0.0
14911,-45.0,-40.0,-65.0,-95.0,-85.0,-85.0,2.0,1.0,1.0,1.0,0.0
14912,-15.0,-55.0,-34.0,-45.0,-59.0,-35.0,0.5,1.0,1.0,1.0,0.0
14913,20.0,55.0,25.0,-10.0,15.0,15.0,2.0,0.5,1.0,1.0,1.0
14914,-80.0,5.0,-10.0,-60.0,-45.0,-25.0,0.5,1.0,1.0,1.0,0.0
